id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52359404,Home in Albany · ★4.92 · 3 bedrooms · 3 beds · 1 bath,207800855,Iris,,FIFTEENTH WARD,42.67044,-73.82573,Entire home/apt,128,1,65,2023-09-26,2.70,3,352,33,
52360097,Rental unit in Albany · ★4.78 · 1 bedroom · 1 bed · 1 bath,392074908,Jerry,,SIXTH WARD,42.65386,-73.75958,Entire home/apt,91,2,60,2023-09-17,2.45,7,349,15,
52569714,Rental unit in Albany · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,232967878,Diana,,SECOND WARD,42.64186,-73.75868,Entire home/apt,138,1,47,2023-09-10,1.95,18,66,20,
52611613,Home in Albany · ★4.95 · 3 bedrooms · 3 beds · 1 bath,232967878,Diana,,NINTH WARD,42.65674,-73.79221,Entire home/apt,187,2,87,2023-09-17,3.65,18,74,43,
52615364,Rental unit in Albany · ★5.0 · 1 bedroom · 2 beds · 1 bath,416465867,Chris,,THIRD WARD,42.65069,-73.75193,Entire home/apt,65,30,20,2022-03-27,0.84,1,119,0,
52619545,Rental unit in Albany · ★4.86 · 2 bedrooms · 2 beds · 1 bath,232967878,Diana,,THIRTEENTH WARD,42.67181,-73.79543,Entire home/apt,125,2,63,2023-09-17,2.61,18,88,29,
52691284,Home in Albany · ★4.96 · 5 bedrooms · 7 beds · 2.5 baths,232967878,Diana,,TENTH WARD,42.66236,-73.79245,Entire home/apt,600,2,51,2023-09-17,2.14,18,78,22,
52836323,Rental unit in Albany · ★4.83 · 2 bedrooms · 2 beds · 1 bath,232967878,Diana,,THIRTEENTH WARD,42.67131,-73.7921,Entire home/apt,149,1,47,2023-09-17,2.19,18,87,27,
52837196,Rental unit in Albany · ★4.77 · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,FOURTH WARD,42.65812,-73.74837,Entire home/apt,117,1,52,2023-08-27,2.20,13,74,17,
52863776,Rental unit in Albany · ★4.99 · 1 bedroom · 2 beds · 1 bath,355777684,Lloyd,,SIXTH WARD,42.65826,-73.76944,Entire home/apt,121,1,128,2023-09-24,5.45,3,314,66,
52923647,Vacation home in Albany · 3 bedrooms · 2 beds · 2 baths,428451585,Erwin,,EIGHTH WARD,42.64792,-73.79953,Entire home/apt,250,3,0,,,1,365,0,
53076528,Rental unit in Albany · ★New · 3 bedrooms · 3 beds · 1.5 baths,199629265,Miranda,,SIXTH WARD,42.64974620470272,-73.76440329510734,Entire home/apt,139,1,0,,,1,141,0,
53115382,Home in Albany · ★4.59 · 1 bedroom · 2 beds · 1 bath,207800855,Iris,,FIFTEENTH WARD,42.67004,-73.82367,Entire home/apt,88,2,27,2023-05-24,1.19,3,55,7,
53312101,Rental unit in Albany · ★4.91 · 1 bedroom · 1 bed · 1 bath,232967878,Diana,,SECOND WARD,42.64369,-73.7581,Entire home/apt,101,1,33,2023-09-03,1.45,18,85,27,
53483727,Vacation home in Albany · ★4.97 · 4 bedrooms · 4 beds · 1.5 baths,433096110,Brian,,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,250,1,91,2023-09-19,4.29,3,257,43,
53567589,Rental unit in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,433096110,Brian,,SIXTH WARD,42.65204,-73.76655,Entire home/apt,99,1,154,2023-09-29,7.02,3,0,82,
53645427,Rental unit in Albany · ★4.61 · 2 bedrooms · 2 beds · 2 baths,47625981,Linda,,FOURTH WARD,42.65913,-73.74722,Entire home/apt,150,1,66,2023-08-20,3.00,13,80,34,
53765091,Rental unit in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,392074908,Jerry,,SIXTH WARD,42.65295,-73.7615,Entire home/apt,89,2,31,2023-08-23,1.42,7,264,10,
53860077,Cottage in Albany · ★5.0 · 4 bedrooms · 4 beds · 1 bath,4259750,Peter,,FIFTEENTH WARD,42.674675,-73.822861,Entire home/apt,191,1,13,2023-08-29,0.69,9,364,7,
53971505,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,60293220,David,,FOURTH WARD,42.65873,-73.7494,Entire home/apt,75,13,3,2022-12-31,0.15,3,365,1,
54097694,Place to stay in Albany · 1 bed · Half-bath,438504176,Roland,,SECOND WARD,42.64683,-73.75662,Entire home/apt,300,1,0,,,1,365,0,
54126420,Home in Albany · ★4.80 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,TENTH WARD,42.66261,-73.79026,Entire home/apt,106,1,56,2023-09-04,3.52,7,365,37,
54126421,Townhouse in Albany · ★4.95 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,SIXTH WARD,42.65422,-73.76996,Entire home/apt,106,1,40,2023-09-26,2.17,7,357,18,
54126427,Townhouse in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,SIXTH WARD,42.65403,-73.77056,Entire home/apt,128,1,99,2023-09-01,4.70,7,334,22,
54128829,Townhouse in Albany · ★4.99 · 2 bedrooms · 5 beds · 2 baths,265709295,Richard & Priscela,,SIXTH WARD,42.65594,-73.76591,Entire home/apt,200,1,163,2023-10-01,8.30,1,336,92,
54150131,Townhouse in Albany · ★4.99 · 3 bedrooms · 4 beds · 2 baths,432936385,Jared,,SIXTH WARD,42.65155,-73.765,Entire home/apt,142,1,89,2023-09-29,4.76,1,303,71,
54232383,Rental unit in Albany · ★4.80 · 2 bedrooms · 2 beds · 1 bath,272907816,Angela,,SECOND WARD,42.64459,-73.75392,Entire home/apt,125,2,5,2022-11-06,0.38,4,59,3,
54369238,Townhouse in Albany · ★4.92 · 2 bedrooms · 2 beds · 1.5 baths,152762198,Allen,,NINTH WARD,42.65578,-73.78641,Entire home/apt,112,3,24,2023-09-20,1.94,7,154,23,
54369240,Rental unit in Albany · ★4.85 · 1 bedroom · 1 bed · 1 bath,152762198,Allen,,TENTH WARD,42.65905,-73.77964,Entire home/apt,82,3,27,2023-09-04,1.64,7,353,19,
514347748300866729,Rental unit in Albany · ★4.96 · 1 bedroom · 1 bed · 1 bath,166246610,Shawn,,THIRD WARD,42.65742,-73.74985,Entire home/apt,95,4,25,2023-09-09,1.17,2,68,12,
552126406812197546,Townhouse in Albany · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,49100926,Clyde,,SIXTH WARD,42.65902,-73.7701,Private room,110,2,4,2023-01-20,0.20,4,334,2,
553840513283735966,Townhouse in Albany · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,49100926,Clyde,,SIXTH WARD,42.6595,-73.76938,Private room,100,2,4,2023-07-02,0.21,4,334,2,
554082470790988493,Townhouse in Albany · ★4.67 · 1 bedroom · 1 bed · 1.5 shared baths,49100926,Clyde,,SIXTH WARD,42.6598,-73.76995,Private room,100,2,6,2022-10-02,0.30,4,267,1,
559249822516788574,Rental unit in Albany · 1 bedroom · 2 beds · 1 bath,433884293,Uniah,,NINTH WARD,42.66062,-73.79112,Entire home/apt,75,6,2,2023-06-26,0.17,1,363,2,
563711706943869398,Rental unit in Albany · ★4.83 · 3 bedrooms · 3 beds · 1 bath,4259750,Peter,,THIRTEENTH WARD,42.66919,-73.78672,Entire home/apt,266,2,6,2022-12-24,0.31,9,365,3,
565171585673492875,Serviced apartment in Albany · ★4.79 · 1 bedroom · 1 bed · 1 bath,232967878,Diana,,SECOND WARD,42.64342,-73.75742,Entire home/apt,122,1,56,2023-09-03,2.85,18,83,29,
581057744765912905,Loft in Albany · ★4.63 · Studio · 1 bed · 1 bath,47625981,Linda,,THIRD WARD,42.65848,-73.76359,Entire home/apt,115,1,35,2023-07-30,1.87,13,83,30,
588298411730694861,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,353498132,Michael,,SECOND WARD,42.64441,-73.75647,Entire home/apt,110,13,8,2023-08-05,0.52,5,288,4,
593272120497643087,Home in Albany · ★4.98 · 1 bedroom · 2 beds · 1 private bath,382970529,Thomas,,THIRTEENTH WARD,42.66911,-73.79869,Private room,189,1,64,2023-09-23,4.23,5,174,59,
594826539132503237,Rental unit in Albany · ★4.85 · Studio · 2 beds · 1 bath,232967878,Diana,,SECOND WARD,42.64252,-73.75688,Entire home/apt,119,1,59,2023-09-10,3.23,18,86,41,
597655328370142613,Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,30920241,Miri,,SIXTH WARD,42.65314,-73.76787,Entire home/apt,129,28,7,2023-08-06,0.41,1,4,6,
610090811367811938,Rental unit in Albany · ★4.92 · 2 bedrooms · 3 beds · 1 bath,40548251,Reyana,,NINTH WARD,42.652049,-73.7949665,Entire home/apt,102,2,25,2023-09-08,2.32,1,271,25,
617242073954595468,Rental unit in Albany · ★4.91 · 1 bedroom · 1 bed · 1 bath,433096110,Brian,,SIXTH WARD,42.65353,-73.7679,Entire home/apt,113,1,88,2023-09-17,5.16,3,341,63,
618673322156725003,Loft in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,2554853,Nim,,SIXTH WARD,42.655479431152344,-73.76625061035156,Entire home/apt,71,4,4,2023-07-22,0.36,1,237,4,
619695112394148331,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,353498132,Michael,,SECOND WARD,42.64489,-73.75731,Entire home/apt,120,13,5,2023-08-03,0.34,5,241,3,
620480926228934988,Home in Albany · ★4.60 · 2 bedrooms · 3 beds · 1.5 baths,457678547,Najeem Adegbemiga,,SEVENTH WARD,42.640217,-73.780815,Entire home/apt,121,2,10,2023-08-28,0.74,1,359,7,
